N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
2010,2,6950000,2,46.0,28.0,7.0,0,3,9,7.0,18,1,1,1,1
2011,2,6950000,2,47.0,28.0,7.0,0,2,9,9.96,19,1,1,1,1
2012,2,6950000,1,40.0,19.0,8.1,1,6,14,5.43,14,1,1,-,1
2013,2,6950000,3,60.0,45.0,8.0,0,2,9,10.27,-,0,1,1,1
2014,2,6958380,1,42.9,11.5,20.7,1,2,18,6.08,10,1,0,-,0
2015,2,6960000,1,31.0,21.0,8.0,0,6,9,4.65,10,1,1,0,1
2016,2,6970000,1,35.7,20.0,10.0,0,3,12,6.21,7,1,1,0,1
2017,2,6099600,2,59.8,29.7,11.6,1,19,20,8.22,8,1,1,-,0
2018,2,8779974,1,44.6,18.0,13.0,1,13,23,9.11,15,1,0,-,0
2019,2,8322600,1,44.0,18.3,11.5,0,5,14,8.4,15,1,1,-,0
2020,2,6980000,2,52.0,30.0,9.0,0,2,12,9.74,16,1,0,1,1
2021,2,6990000,1,36.0,19.0,8.5,0,7,16,7.47,15,1,1,0,1
2022,2,6990000,1,38.0,19.0,12.0,0,18,22,8.15,15,1,1,0,1
2023,2,7000000,1,33.0,19.0,6.0,0,1,8,4.06,5,1,0,-,1
2024,2,7000000,1,34.0,18.0,7.0,0,5,9,11.84,15,0,1,1,1
2025,2,7000000,1,38.0,19.0,8.0,0,5,14,6.22,10,1,1,1,1
2026,2,7000000,1,38.0,20.0,12.0,0,15,16,7.61,-,0,1,-,1
2027,2,7000000,2,40.9,25.8,5.7,1,4,5,2.47,3,1,1,-,1
2028,2,7000000,1,37.7,25.0,9.0,0,5,17,8.73,11,1,1,1,1
2029,2,7019410,1,36.4,11.3,17.3,1,11,18,6.08,10,1,0,-,0
2030,2,7025248,1,36.0,11.3,17.3,1,7,18,6.08,10,1,0,-,0
2031,2,7090000,1,38.0,20.0,10.0,0,2,22,9.49,1,1,0,1,1
2032,2,7092400,2,47.6,21.9,12.1,1,5,17,8.41,3,1,1,-,0
2033,2,7100000,1,39.2,20.9,8.6,0,11,14,10.26,8,0,1,1,1
2034,2,7100000,2,56.0,34.0,8.0,1,4,5,6.61,-,0,1,1,1
2035,2,7100000,1,43.1,20.0,11.0,0,5,12,7.53,20,1,1,1,1
2036,2,7100000,2,52.0,31.0,10.0,0,8,17,12.96,5,0,1,-,1
2037,2,7100000,1,40.0,21.0,10.0,0,17,22,6.28,3,1,1,1,1
2038,2,7100000,2,45.0,33.0,5.5,0,2,9,5.27,14,1,0,1,1
2039,2,7113600,2,44.1,27.5,6.7,1,6,17,8.41,3,1,1,-,0
2040,2,7173600,1,35.7,9.2,16.3,1,13,15,8.95,7,1,1,-,0
2041,2,7200000,2,43.0,28.1,5.4,1,7,9,10.44,8,0,1,-,1
2042,2,7200000,2,47.0,34.0,7.0,0,3,9,7.58,8,1,1,1,1
2043,2,7200000,3,50.0,34.5,6.0,0,6,9,9.45,10,0,1,0,1
2044,2,7200000,1,44.0,21.0,9.0,0,9,12,7.31,5,0,1,1,1
2045,2,7771400,3,79.3,45.7,11.2,1,14,20,8.22,6,1,0,-,0
2046,2,7840690,1,40.1,17.3,9.8,1,12,24,6.07,1,1,1,-,0
2047,2,8300000,3,63.8,38.6,8.2,0,4,9,6.47,13,1,1,-,1
2048,2,7200000,2,46.0,28.5,6.0,0,5,12,9.11,31,1,1,1,1
2049,2,7200000,2,48.0,31.0,6.0,0,7,9,6.91,10,1,0,0,1
2050,2,7200000,2,50.0,32.0,10.0,0,6,12,8.68,14,1,1,0,1
2051,2,7219902,1,38.1,11.3,17.3,1,18,18,6.08,10,1,0,-,0
2052,2,7223040,1,43.2,18.5,10.0,1,3,12,9.37,15,1,0,-,0
2053,2,7250000,3,55.1,34.7,7.9,0,1,16,9.28,10,0,0,1,1
2054,2,7290000,1,41.0,30.0,-,1,2,3,3.25,10,1,0,0,1
2055,2,7300000,2,39.0,23.4,6.2,0,1,14,9.34,11,1,1,1,1
2056,2,7300000,3,60.0,45.0,-,0,4,9,11.25,10,0,1,1,1
2057,2,7300000,3,60.0,42.0,7.0,0,4,9,11.25,12,0,1,1,1
2058,2,7300000,2,54.0,31.0,9.0,0,16,16,8.8,15,1,1,0,1
2059,2,7300000,2,40.0,25.0,8.0,0,14,14,9.33,4,1,1,1,1
2060,2,7300000,2,45.0,32.0,7.5,0,6,9,9.99,28,1,1,1,1
2061,2,7300000,2,46.0,31.0,7.0,0,12,12,6.9,5,1,1,1,1
2062,2,7300000,2,45.0,28.0,6.0,0,4,5,6.18,5,0,1,1,1
2063,2,7300000,2,53.0,32.0,9.0,0,1,12,8.62,10,1,0,1,1
2064,2,7300000,2,45.0,28.2,6.0,0,4,9,6.96,4,1,0,0,1
2065,2,7300000,1,37.8,19.0,8.0,1,9,14,7.71,10,1,1,1,1
2066,2,7300000,2,38.0,23.0,8.0,0,8,9,4.69,7,1,1,1,1
2067,2,7300000,1,47.0,36.0,8.5,0,16,16,10.28,7,0,1,1,1
2068,2,7348250,1,45.5,18.0,12.7,1,2,12,9.37,15,1,0,-,0
2069,2,7350000,1,39.0,20.0,8.0,0,8,17,6.61,3,0,1,0,1
2070,2,7350000,2,46.3,29.9,6.4,0,9,9,7.51,15,1,1,1,1
2071,2,7350000,2,44.0,28.0,6.0,0,6,9,7.07,7,1,0,-,1
2072,2,7350000,2,45.0,28.1,6.0,0,4,12,8.98,12,1,1,1,1
2073,2,6500000,2,45.0,29.0,6.0,0,6,9,8.5,9,1,0,1,1
2074,2,8963500,1,45.5,-,-,1,1,22,4.33,10,1,1,-,0
2075,2,5100000,2,42.0,26.0,6.0,1,1,5,8.71,15,1,0,1,1
2076,2,7390000,2,53.2,30.2,8.4,0,3,12,8.58,19,1,1,1,1
2077,2,7400000,2,52.0,32.0,10.0,0,8,14,7.66,10,0,1,1,1
2078,2,7400000,2,46.0,32.0,6.0,0,2,5,4.19,10,1,1,1,1
2079,2,7400000,3,65.6,47.3,9.2,0,8,12,8.89,20,1,1,1,1
2080,2,7400000,2,38.0,22.0,7.0,0,9,12,3.26,15,1,1,0,1
2081,2,7400000,2,48.0,32.0,7.0,0,7,12,8.06,15,1,1,1,1
2082,2,7400000,2,45.0,30.0,6.0,0,4,9,9.64,10,1,1,1,1
2083,2,7400000,2,48.0,34.0,-,0,10,12,10.02,20,0,1,1,1
2084,2,7423680,1,44.4,18.0,12.7,1,3,12,9.37,15,1,0,-,0
2085,2,7448342,2,51.5,-,-,0,5,18,6.06,14,1,1,-,0
2086,2,7450000,1,38.9,20.9,8.5,0,3,12,9.83,7,1,1,1,1
2087,2,7490952,1,40.1,11.5,20.7,1,5,18,6.08,10,1,0,-,0
2088,2,7499000,1,47.0,30.0,10.0,1,4,11,9.18,13,1,1,0,1
2089,2,7499000,2,47.0,30.0,10.0,1,4,11,9.18,10,1,1,0,1
2090,2,7500000,1,39.0,21.0,9.0,0,1,14,3.21,8,1,0,-,1
2091,2,7500000,2,48.0,32.0,9.0,0,12,14,10.47,15,1,1,1,1
2092,2,7500000,1,39.0,19.8,8.5,0,17,17,5.7,13,1,1,-,1
2093,2,7500000,1,39.0,20.0,10.0,0,18,22,8.31,15,1,1,-,1
2094,2,7500000,2,52.5,31.5,8.5,0,4,16,8.84,13,1,1,1,1
2095,2,7500000,1,36.0,17.0,9.0,0,3,17,5.38,8,1,1,1,1
2096,2,7500000,1,44.0,19.0,11.0,0,10,21,9.09,7,0,1,1,1
2097,2,7500000,1,44.0,19.0,11.0,1,19,24,11.56,10,0,1,-,1
2098,2,7500000,2,54.0,32.0,8.5,0,6,12,11.95,-,0,1,1,1
2099,2,7500000,2,38.0,20.0,7.0,0,6,8,4.0,20,1,1,1,1
2100,2,7500000,1,37.0,20.0,8.0,1,9,9,3.52,5,1,1,1,1
2101,2,13500000,2,51.3,26.0,8.0,0,6,9,3.39,6,1,0,1,1
2102,2,44500000,4,150.0,100.0,30.0,1,11,15,5.98,21,1,1,-,1
2103,2,6650000,1,39.0,19.0,9.0,0,11,16,9.48,20,1,1,1,1
2104,2,7500000,2,52.0,33.5,8.5,0,1,16,8.87,15,1,0,-,1
2105,2,7500000,1,32.0,24.0,8.0,0,4,5,2.49,5,1,1,-,1
2106,2,7500000,1,38.0,19.1,7.4,0,13,17,7.8,17,1,1,-,1
2107,2,7500000,1,43.0,21.0,10.0,0,10,12,6.26,16,1,1,1,1
2108,2,7500000,2,43.0,30.0,6.0,0,2,5,4.84,13,1,1,1,1
2109,2,7500000,1,36.0,20.0,8.7,1,1,14,4.21,7,1,1,1,1
2110,2,7500000,1,42.0,22.0,10.0,0,13,19,11.53,-,0,1,1,1
2111,2,7500000,2,52.0,31.0,10.0,0,7,12,10.6,-,0,0,0,1
2112,2,7500000,3,60.0,38.0,6.0,0,8,9,10.66,20,0,1,1,1
2113,2,7500000,1,35.0,19.7,9.7,0,10,12,4.45,14,1,1,1,1
2114,2,7500000,3,57.0,41.5,6.0,0,2,9,10.0,25,1,0,-,1
2115,2,7526400,1,47.0,23.5,13.4,0,1,16,8.47,-,0,1,-,0
2116,2,7530000,2,45.0,29.0,6.0,0,3,9,6.65,10,1,1,1,1
2117,2,7599840,1,32.7,-,-,0,16,18,6.06,14,1,1,-,0
2118,2,7599800,1,58.0,45.0,-,1,2,3,3.25,10,1,0,0,1
2119,2,7600000,2,44.0,28.0,6.0,0,6,9,9.05,1,1,0,1,1
2120,2,7600000,2,47.1,32.0,9.0,0,14,14,9.07,15,1,1,1,1
2121,2,7600000,3,49.0,39.0,6.0,0,5,9,7.36,5,1,1,1,1
2122,2,7600000,2,38.0,23.0,8.0,0,9,9,4.65,10,1,1,1,1
2123,2,7600000,1,40.0,19.0,10.0,0,2,16,8.45,3,1,1,1,1
2124,2,7600000,2,40.0,24.0,6.5,0,11,12,5.9,15,1,1,1,1
2125,2,7600000,2,38.0,23.0,8.0,0,7,9,6.5,5,0,1,0,1
2126,2,7600000,1,37.0,19.0,9.0,0,15,17,5.7,7,1,1,1,1
2127,2,7650000,2,52.0,31.0,8.5,0,1,12,9.4,5,1,0,0,1
2128,2,7683200,1,38.3,20.0,6.7,1,13,15,8.95,7,1,1,-,0
2129,2,39600000,4,112.0,73.0,10.0,1,7,9,4.55,8,1,1,-,1
2130,2,18000000,3,105.9,-,-,1,3,3,3.25,5,1,0,-,0
2131,2,17865000,3,104.4,-,-,1,3,3,3.25,15,1,0,-,0
2132,2,7699000,1,40.0,21.0,10.0,0,1,12,2.72,7,0,0,1,1
2133,2,7700000,2,46.0,30.0,7.5,0,5,12,9.77,20,1,1,1,1
2134,2,7700000,2,48.0,34.0,7.0,0,12,12,8.39,4,1,1,0,1
2135,2,7700000,1,39.2,20.0,10.0,0,11,22,3.19,10,1,1,1,1
2136,2,7700000,1,41.0,18.0,11.0,1,10,24,7.82,16,1,1,1,1
2137,2,7700000,1,37.0,18.0,10.0,0,8,12,6.45,5,0,0,1,1
2138,2,7700000,3,58.7,44.1,6.1,0,3,9,9.89,28,1,1,1,1
2139,2,7700000,1,41.0,17.3,11.0,1,2,25,7.61,10,0,1,1,1
2140,2,7700000,3,62.0,43.0,7.0,0,5,12,10.6,10,0,0,1,1
2141,2,7700000,1,38.9,19.1,9.1,1,6,12,8.3,4,1,1,1,1
2142,2,7700000,2,52.3,30.4,8.5,0,12,12,9.25,5,1,1,-,1
2143,2,7726867,2,49.1,-,-,0,13,18,6.06,14,1,1,-,0
2144,2,7758080,1,46.4,-,12.7,1,3,12,9.37,15,1,0,-,0
2145,2,7761120,2,47.0,23.4,10.0,1,6,17,8.41,3,1,1,-,0
2146,2,7771000,3,79.3,46.0,12.0,1,4,20,8.22,10,1,1,-,0
2147,2,7771400,3,79.3,-,-,1,4,20,8.22,8,1,0,-,0
2148,2,7771400,3,79.3,45.7,11.2,1,18,20,8.24,8,1,1,-,1
2149,2,7790000,2,44.0,29.0,6.0,0,3,9,7.07,7,1,0,-,1
2150,2,7800000,3,57.8,42.0,6.0,1,3,9,10.0,15,1,1,1,1
2151,2,7800000,2,39.0,22.0,7.0,0,9,12,3.26,15,1,1,1,1
2152,2,7800000,3,60.0,39.0,8.0,0,1,9,9.72,24,1,1,1,1
2153,2,7800000,2,52.0,31.0,9.0,0,5,12,8.76,5,0,1,1,1
2154,2,7800000,2,52.0,31.0,10.0,0,11,17,11.71,10,0,1,0,1
2155,2,7840000,1,39.0,19.2,9.2,0,19,22,6.46,11,1,1,1,1
2156,2,7850000,2,39.0,25.0,7.6,0,8,9,3.36,17,1,1,1,1
2157,2,13463322,2,69.7,-,12.4,0,12,21,10.19,10,0,0,-,0
2158,2,8950000,3,65.0,41.0,8.0,0,11,12,8.7,10,1,1,1,1
2159,2,5990000,1,39.9,21.0,9.0,0,9,12,8.46,15,1,1,1,1
2160,2,7900000,2,53.0,31.0,9.0,0,7,12,8.88,10,1,1,0,1
2161,2,7900000,2,48.0,32.0,6.5,0,7,9,7.65,13,1,1,1,1
2162,2,7900000,1,35.0,20.0,6.0,1,4,9,4.73,5,1,1,-,1
2163,2,7900000,1,41.2,19.0,9.3,1,6,12,8.3,4,1,1,1,1
2164,2,7929600,1,44.8,20.0,14.4,1,12,15,8.95,7,1,1,-,0
2165,2,7936500,2,52.9,20.3,18.1,1,2,18,6.08,10,1,0,-,0
2166,2,7948570,2,49.4,31.8,8.8,1,6,18,6.08,10,1,0,-,0
2167,2,7950000,3,59.0,45.0,6.0,0,4,9,10.29,-,0,1,1,1
2168,2,7990000,3,51.3,33.0,6.0,0,3,9,10.01,15,1,1,1,1
2169,2,7990000,2,43.0,29.0,6.0,1,8,9,5.63,15,1,1,1,1
2170,2,7990000,2,53.5,31.4,8.5,0,14,17,11.64,7,0,1,1,1
2171,2,7999000,3,60.0,38.0,8.0,0,2,9,7.42,15,1,1,1,1
2172,2,7999000,2,48.0,30.0,6.5,0,5,14,7.35,7,1,1,1,1
2173,2,8000000,2,41.0,24.9,5.5,0,4,5,2.79,3,1,1,0,1
2174,2,8000000,2,52.0,30.4,8.0,0,6,17,7.08,15,1,1,1,1
2175,2,8000000,4,65.0,52.0,7.0,0,3,9,10.29,-,0,1,0,1
2176,2,8000000,2,40.0,30.0,6.0,0,12,14,7.02,6,1,1,1,1
2177,2,8000000,3,52.5,37.9,5.8,0,1,5,3.93,13,1,0,1,1
2178,2,8000000,3,65.0,38.0,6.0,0,3,12,10.29,5,0,1,1,1
2179,2,8000000,2,45.0,26.0,6.0,1,8,9,7.8,9,1,1,1,1
2180,2,8000000,3,60.0,43.9,6.0,0,6,9,8.82,10,0,1,0,1
2181,2,8000000,2,47.1,30.0,6.0,0,2,9,6.49,10,1,1,1,1
2182,2,8000000,2,55.0,31.0,9.0,0,8,12,9.03,7,1,1,1,1
2183,2,8000000,2,49.4,30.3,9.6,1,18,18,7.23,7,1,1,-,0
2184,2,8000000,3,50.8,36.0,6.0,0,5,9,9.7,11,1,1,1,1
2185,2,10600000,3,60.0,38.3,8.0,0,6,9,6.77,5,1,1,1,1
2186,2,39600000,4,112.0,73.0,10.0,1,7,9,4.55,8,1,1,-,1
2187,2,7223040,1,43.2,18.5,10.0,1,3,12,9.37,15,1,0,-,0
2188,2,8100000,3,53.0,34.0,6.0,0,2,9,7.34,6,1,1,1,1
2189,2,8100000,2,52.0,30.0,9.0,0,8,12,8.96,5,0,1,-,1
2190,2,8100000,2,47.0,31.0,6.0,0,2,5,2.72,2,1,1,1,1
2191,2,8100000,2,45.0,33.3,6.0,0,4,6,2.72,5,1,1,-,1
2192,2,8100000,1,44.4,11.0,23.3,1,15,17,8.41,3,1,1,-,0
2193,2,8121600,2,46.7,25.0,10.0,1,10,17,8.41,3,1,1,-,0
2194,2,8180697,1,42.6,11.5,20.7,1,10,18,6.08,10,1,0,-,0
2195,2,8200000,2,37.0,24.0,8.0,0,9,9,3.41,14,1,0,-,1
2196,2,8200000,3,55.0,37.0,6.0,0,2,5,7.93,3,1,1,1,1
2197,2,8200000,3,52.0,40.0,6.0,0,6,9,5.17,12,1,1,0,1
2198,2,8200000,2,54.2,35.0,-,1,35,46,4.31,10,1,0,-,0
2199,2,8200000,2,55.0,30.0,9.0,0,5,12,8.68,10,0,0,0,1
2200,2,8200000,3,55.0,39.7,5.3,0,4,5,5.86,7,0,1,1,1
2201,2,8200000,2,54.3,31.1,8.3,0,7,16,7.32,5,0,1,1,1
2202,2,8200000,3,63.0,50.0,6.0,0,3,12,9.36,4,0,1,1,1
2203,2,8300000,1,38.1,19.3,9.7,0,8,12,2.78,5,1,1,-,1
2204,2,8300000,1,36.0,17.0,8.0,1,15,17,6.24,20,1,1,-,1
2205,2,8300000,1,38.0,19.0,9.8,0,12,12,4.42,7,1,1,-,1
2206,2,8300000,2,53.3,31.3,10.0,1,17,17,11.69,5,0,1,0,1
2207,2,8300000,3,65.0,38.0,6.5,1,5,5,5.15,12,1,1,1,1
2208,2,8300000,3,60.3,40.3,6.5,0,5,9,8.88,5,0,1,1,1
2209,2,8300000,2,54.0,30.0,8.4,0,9,12,6.59,12,1,1,-,1
2210,2,8300000,2,48.0,32.0,9.0,0,9,14,7.35,7,1,1,1,1
2211,2,8300000,2,52.0,37.0,9.0,0,4,12,10.07,10,1,1,1,1
2212,2,8300000,3,63.0,41.0,9.0,1,2,10,7.67,17,1,0,1,1
2213,2,7771400,3,79.3,45.7,11.2,1,2,20,8.22,8,1,1,-,0
2214,2,8300000,3,63.8,38.6,8.2,0,4,9,6.47,13,1,1,-,1
2215,2,9300000,1,38.0,19.0,9.0,0,13,16,2.94,11,1,1,-,1
2216,2,8300000,3,64.4,46.2,8.0,0,2,16,9.85,10,0,1,-,1
2217,2,8338126,3,56.9,-,-,0,3,16,7.23,-,0,0,-,0
2218,2,8350000,3,63.0,38.0,8.0,0,5,9,8.89,15,1,1,0,1
2219,2,8360000,1,44.0,-,11.5,0,7,14,8.4,15,1,1,-,0
2220,2,8390000,2,52.0,31.0,9.0,0,7,12,8.56,7,1,1,1,1
2221,2,8400000,2,52.0,30.0,8.6,0,12,12,6.65,7,1,1,1,1
2222,2,8400000,2,55.0,31.0,10.0,0,8,16,9.52,5,1,1,-,1
2223,2,8401010,2,49.1,31.8,8.8,1,17,18,6.08,10,1,0,-,0
2224,2,8401730,2,58.3,-,-,0,8,18,6.06,14,1,1,-,0
2225,2,8430300,1,49.3,18.0,12.1,1,4,12,9.37,15,1,0,-,0
2226,2,8436090,1,44.6,18.3,11.5,0,5,14,8.4,15,1,1,-,0
2227,2,8450000,2,54.0,30.0,14.0,1,19,44,4.31,9,1,1,-,1
2228,2,8450000,2,54.0,31.0,9.0,0,9,14,9.35,10,1,1,1,1
2229,2,8490000,2,54.0,32.3,9.4,0,9,16,9.8,12,1,1,0,1
2230,2,8500000,1,38.0,20.5,10.5,0,21,22,3.45,10,1,1,-,1
2231,2,8500000,3,60.5,43.1,6.0,0,2,9,9.04,27,1,1,-,1
2232,2,8500000,3,59.5,38.4,8.2,0,9,9,8.83,3,0,0,1,1
2233,2,8500000,2,58.0,34.0,10.2,0,8,22,9.32,4,1,0,1,1
2234,2,8500000,3,53.0,34.0,6.0,0,7,9,7.07,9,0,1,1,1
2235,2,8500000,3,65.0,41.0,10.0,0,10,14,11.25,-,0,1,1,1
2236,2,8500000,2,50.3,28.0,11.0,0,5,16,9.67,10,0,1,1,1
2237,2,8500000,1,37.4,20.0,9.0,0,8,17,7.33,7,1,1,-,1
2238,2,8500000,3,60.0,44.0,6.0,0,9,9,8.75,10,1,1,1,1
2239,2,8500000,3,65.0,44.0,7.0,0,10,12,7.35,17,1,1,1,1
2240,2,8500000,2,48.0,31.0,7.0,0,3,12,6.69,10,1,1,1,1
2241,2,9000000,2,55.0,30.0,9.0,0,12,12,7.39,5,1,1,1,1
2242,2,4331000,1,35.5,13.5,8.7,1,13,20,8.22,8,1,1,-,0
2243,2,4850000,1,38.0,20.0,9.0,0,2,17,12.85,-,0,1,1,1
2244,2,8500000,2,57.0,30.0,12.0,0,12,14,8.04,19,1,1,1,1
2245,2,8500000,2,53.0,31.0,9.5,0,6,17,6.98,12,1,1,-,1
2246,2,8500000,3,68.0,43.0,6.0,0,3,9,9.69,10,0,1,-,1
2247,2,8500000,3,57.0,38.0,6.0,0,9,9,9.8,12,0,1,1,1
2248,2,8500000,2,61.3,35.1,10.0,0,22,22,8.75,20,1,1,1,1
2249,2,8505540,1,49.7,19.5,13.4,0,4,16,8.47,-,0,1,-,0
2250,2,8560370,2,53.2,29.7,11.2,1,11,18,6.08,10,1,0,-,0
2251,2,8600000,2,53.0,31.0,9.0,0,3,12,7.24,11,1,1,0,1
2252,2,8600000,2,51.8,30.9,8.4,0,16,17,11.02,10,0,1,1,1
2253,2,8600000,3,62.7,45.0,6.6,0,10,12,9.36,6,1,1,1,1
2254,2,8600000,2,54.0,32.0,9.0,0,7,14,6.98,1,1,1,1,1
2255,2,8600000,2,51.5,38.7,5.5,1,8,23,9.19,15,1,0,-,1
2256,2,8600000,3,58.0,44.0,6.0,0,7,9,10.17,27,1,1,1,1
2257,2,8650000,3,63.0,45.0,6.6,0,5,12,9.53,5,1,1,-,1
2258,2,8652464,1,41.4,19.4,10.3,1,3,11,6.07,1,1,1,-,0
2259,2,8665936,2,49.7,20.3,18.1,1,11,18,6.08,10,1,0,-,0
2260,2,8700000,2,42.0,26.0,6.0,0,5,5,4.8,17,1,0,-,1
2261,2,8700000,1,48.2,20.0,14.0,1,4,21,4.3,6,1,1,-,0
2262,2,8700000,3,60.0,38.8,8.2,0,8,9,7.37,12,1,1,1,1
2263,2,8700000,3,62.0,41.0,8.5,0,8,9,7.35,12,1,1,1,1
2264,2,8700000,1,48.2,33.0,15.0,1,4,23,4.3,10,1,1,-,0
2265,2,8702560,1,49.9,-,-,0,18,18,7.23,-,0,0,-,0
2266,2,8725935,2,60.9,-,-,0,3,18,6.06,14,1,1,-,0
2267,2,8750000,2,51.0,31.3,10.0,0,4,16,3.91,12,1,1,1,1
2268,2,8750000,2,53.0,30.0,8.2,0,9,12,8.39,3,1,1,1,1
2269,2,8322600,1,44.0,18.3,11.5,0,5,14,8.4,15,1,1,-,0
2270,2,8779974,1,44.6,-,-,1,13,23,9.11,15,1,0,-,0
2271,2,32515200,4,270.6,-,-,1,2,3,3.25,15,1,1,-,1
2272,2,8780238,2,58.8,22.1,20.6,1,2,18,6.08,10,1,0,-,0
2273,2,8790000,3,64.0,46.0,7.0,0,2,12,11.15,20,1,1,1,1
2274,2,8800000,2,55.0,28.0,12.0,0,3,16,7.56,10,1,1,-,1
2275,2,8800000,3,72.0,43.0,9.0,0,6,12,9.92,6,1,1,1,1
2276,2,8800000,3,59.0,45.0,6.0,0,6,9,9.43,3,1,1,1,1
2277,2,8808800,2,67.0,55.0,-,1,2,3,3.25,10,1,0,0,1
2278,2,8816400,2,49.0,20.3,18.1,1,9,18,6.08,10,1,0,-,0
2279,2,8850037,2,53.4,20.3,18.1,1,4,18,6.08,10,1,0,-,0
2280,2,8850684,2,50.5,31.8,8.8,1,11,18,6.08,10,1,0,-,0
2281,2,8870808,1,44.7,15.2,13.1,1,10,24,6.07,1,1,1,-,0
2282,2,8896580,2,58.3,-,-,0,2,18,7.23,-,0,0,-,0
2283,2,8900000,1,39.0,19.1,8.0,0,13,17,6.82,4,1,1,1,1
2284,2,8929765,2,61.1,-,-,0,4,18,6.06,14,1,1,-,0
2285,2,8944992,2,54.8,22.1,20.6,1,7,18,6.08,10,1,0,-,0
2286,2,8950000,3,65.0,41.0,8.0,0,10,12,8.7,10,1,1,1,1
2287,2,8950000,2,45.0,28.0,7.0,0,2,8,5.31,15,1,0,-,1
2288,2,8950000,2,52.0,30.0,9.0,0,2,17,7.56,10,1,1,-,1
2289,2,8970000,2,51.0,31.0,10.0,0,15,16,7.55,10,0,1,1,1
2290,2,8988204,1,44.8,17.3,15.8,1,18,24,6.07,1,1,1,-,0
2291,2,8990000,3,62.0,44.0,6.0,0,4,9,9.17,3,1,1,1,1
2292,2,8990000,3,65.0,46.0,8.0,0,4,12,9.34,6,1,1,1,1
2293,2,8990000,3,64.5,46.0,8.0,0,4,12,9.34,5,1,1,1,1
2294,2,8990000,1,44.0,21.0,12.0,1,2,17,6.65,5,0,1,0,1
2295,2,9000000,2,42.0,25.5,6.0,0,2,9,4.4,7,1,1,1,1
2296,2,8999999,4,63.0,50.0,6.4,0,3,9,8.07,10,1,1,1,1
2297,2,17990000,3,74.0,45.0,9.0,1,7,9,5.16,7,1,1,1,1
2298,2,32515200,4,270.6,-,-,1,2,3,3.25,15,1,1,-,1
2299,2,8300000,2,50.5,28.4,11.1,0,4,16,8.05,15,1,1,1,1
2300,2,9000000,2,54.0,33.0,10.0,0,14,17,9.6,20,0,1,1,1
2301,2,9000000,1,35.0,20.0,10.0,1,14,22,9.26,7,1,1,1,1
2302,2,9000000,3,72.0,50.9,10.0,1,4,4,11.46,10,1,0,-,1
2303,2,9000000,3,60.0,39.0,8.0,0,5,9,9.58,9,1,1,1,1
2304,2,8999999,3,60.0,40.0,6.0,0,5,5,4.84,10,0,1,0,1
2305,2,9026250,2,62.3,23.3,20.4,1,2,18,6.08,10,1,0,-,0
2306,2,9044100,2,58.5,-,-,0,2,20,7.23,-,0,0,-,0
2307,2,9050000,2,48.0,30.0,8.0,0,9,12,6.11,15,1,1,-,1
2308,2,9081000,1,46.8,46.8,-,1,7,8,3.2,12,1,0,0,1
2309,2,9081000,1,46.8,38.4,8.0,1,7,8,3.2,7,1,0,-,0
2310,2,9090000,2,53.0,31.0,8.3,0,11,12,9.78,12,1,1,1,1
2311,2,9090000,2,52.3,30.1,8.3,0,11,12,9.78,8,0,1,1,1
2312,2,9100000,2,48.6,31.0,9.5,0,2,12,6.25,10,1,1,1,1
2313,2,9100000,2,45.0,28.0,7.0,0,2,12,4.09,19,1,1,1,1
2314,2,9113600,2,64.0,-,-,0,8,20,7.23,-,0,0,-,0
2315,2,9113600,2,64.0,-,-,0,6,20,7.23,-,0,0,-,0
2316,2,9145600,2,64.0,-,-,0,12,20,7.23,-,0,0,-,0
2317,2,9157500,1,49.5,18.3,14.5,1,2,22,4.33,10,1,1,-,0
2318,2,9163000,1,52.4,20.7,15.0,0,6,16,8.47,-,0,1,-,0
2319,2,9171360,2,59.4,-,-,0,8,18,7.23,-,0,0,-,0
2320,2,9190400,2,64.1,-,-,0,19,20,7.23,-,0,0,-,0
2321,2,9190400,2,64.0,-,-,0,14,20,7.23,-,0,0,-,0
2322,2,9190400,2,64.1,-,-,0,18,20,7.23,-,0,0,-,0
2323,2,9200000,2,60.0,34.0,12.0,0,5,22,8.15,15,1,1,1,1
2324,2,9200000,2,45.0,29.0,7.0,0,6,14,5.47,10,1,1,1,1
2325,2,32515200,4,270.6,-,-,1,2,3,3.25,15,1,1,-,1
2326,2,6800000,1,40.0,19.0,8.0,1,11,14,5.74,16,1,1,0,1
2327,2,4500000,1,32.5,17.9,7.9,0,2,9,9.35,5,1,0,1,1
2328,2,9200000,3,60.0,38.2,8.0,0,1,9,10.31,19,0,1,1,1
2329,2,9200000,2,52.0,32.0,7.0,1,4,5,5.78,5,1,0,1,1
2330,2,9200000,1,45.0,18.0,10.0,0,5,25,7.28,7,0,1,0,1
2331,2,9201060,2,59.4,-,-,0,10,18,7.23,-,0,0,-,0
2332,2,9201060,2,59.5,-,-,0,12,18,7.23,-,0,0,-,0
2333,2,9208124,1,52.0,34.0,13.0,1,25,37,6.08,5,0,0,0,1
2334,2,9222400,1,52.4,-,-,1,1,15,4.33,10,1,1,-,0
2335,2,9242640,2,59.5,-,-,0,17,18,7.23,-,0,0,-,0
2336,2,9248233,1,40.6,19.0,10.3,1,7,11,6.07,1,1,1,-,0
