N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
77,0,8100000,1,35.0,15.0,9.0,0,2,17,5.68,7,0,0,1,1
78,0,8100000,1,31.0,19.0,6.0,1,3,5,5.49,10,1,1,-,1
79,0,8112552,1,39.8,39.8,-,0,2,-,4.74,6,1,0,-,0
80,0,8150000,3,56.0,40.0,6.0,0,3,5,1.95,4,1,1,1,1
81,0,8168388,1,40.8,40.8,-,0,2,-,4.74,6,1,0,-,0
82,0,8200000,2,44.6,32.3,5.6,0,7,9,5.01,7,1,1,1,1
83,0,8200000,1,40.0,20.0,8.5,1,2,5,7.48,15,1,1,1,1
84,0,8232146,1,28.6,28.6,-,0,4,-,4.74,6,1,0,-,0
85,0,84000000,4,143.0,97.0,17.0,1,4,6,2.91,3,0,1,-,1
86,0,80000000,4,139.0,95.0,15.0,1,5,14,4.86,5,1,1,0,1
87,0,44900000,2,133.0,100.0,20.0,1,5,5,1.2,5,1,1,-,1
88,0,8250000,2,36.0,21.0,5.0,1,8,9,3.71,13,1,1,1,1
89,0,8300000,1,35.0,17.0,10.0,0,7,12,5.78,5,0,0,1,1
90,0,8300000,2,39.4,25.7,6.8,0,3,6,3.21,9,1,0,1,1
91,0,8323802,2,55.2,55.2,-,1,2,6,4.77,5,1,0,0,1
92,0,8375472,1,37.9,37.9,-,0,2,-,4.74,6,1,0,-,0
93,0,8400000,1,31.0,19.0,6.0,1,5,5,4.84,7,1,0,1,1
94,0,8400000,1,32.0,19.0,5.1,1,9,9,4.36,6,1,1,1,1
95,0,8400000,1,39.0,19.0,8.0,1,7,16,7.01,14,1,1,1,1
96,0,8437054,1,39.8,39.8,-,1,2,6,4.77,5,1,0,0,1
97,0,8500000,2,43.5,28.7,6.0,0,3,5,5.66,8,1,1,1,1
98,0,8500000,1,35.0,18.0,9.0,0,6,16,3.46,10,1,1,1,1
99,0,8500000,1,37.0,18.5,11.5,0,6,17,4.35,5,1,0,1,1
100,0,8500000,2,42.0,26.6,5.0,1,1,9,5.1,7,1,0,0,1
101,0,8501908,1,34.4,34.4,-,0,2,-,4.74,6,1,0,-,0
102,0,8513060,1,37.0,37.0,-,0,4,-,4.74,6,1,0,-,0
103,0,8600000,2,52.0,37.0,12.0,0,1,13,7.56,18,1,1,-,1
104,0,8650000,1,38.8,23.1,9.0,1,13,14,4.51,2,1,0,-,1
105,0,8700000,1,39.0,19.0,8.0,0,12,17,6.14,10,1,1,-,1
106,0,8700000,2,44.0,29.0,6.0,1,4,9,2.45,6,0,1,1,1
107,0,8700000,1,38.0,20.0,9.0,1,6,17,6.02,10,1,1,0,1
108,0,8753326,1,37.6,37.6,-,0,5,-,4.74,6,1,0,-,0
109,0,8839861,1,52.7,52.7,-,0,2,-,4.74,6,1,0,-,0
110,0,8886150,1,44.1,-,-,1,5,39,5.43,5,1,0,-,0
111,0,8895300,1,44.7,-,-,1,4,39,5.43,5,1,0,-,0
112,0,8900000,1,39.0,23.0,10.0,1,1,3,5.63,3,1,0,1,1
113,0,28077336,1,46.4,21.4,15.0,1,6,6,0.65,10,1,1,-,0
114,0,12100000,1,36.2,18.0,9.1,1,9,12,3.85,10,1,1,-,1
115,0,15590000,2,85.6,48.4,14.8,0,9,25,4.9,7,1,1,-,1
116,0,8900000,2,47.5,31.0,7.0,0,1,12,5.0,9,1,1,-,1
117,0,8900000,1,40.0,20.0,10.5,0,12,22,5.1,3,0,1,1,1
118,0,8903736,1,43.7,43.7,-,0,3,-,4.74,6,1,0,-,0
119,0,8943624,1,49.9,49.9,-,0,4,-,4.74,6,1,0,-,0
120,0,8950000,2,46.4,24.2,9.2,0,1,5,2.96,5,1,0,-,1
121,0,8949981,1,38.9,38.9,-,0,4,-,4.74,6,1,0,-,0
122,0,9000000,1,40.0,20.0,10.0,0,1,12,5.22,7,1,0,1,1
123,0,9000000,1,31.6,21.3,5.1,0,5,9,5.53,3,1,1,-,1
124,0,9000000,2,48.0,31.0,7.2,0,7,12,2.65,7,1,1,1,1
125,0,9000000,1,36.7,16.0,10.1,1,1,16,4.76,9,1,0,1,1
126,0,9000000,1,36.7,16.0,10.1,1,1,16,4.76,5,1,0,1,1
127,0,9000000,2,54.0,34.0,9.0,0,4,6,3.21,3,1,0,-,1
128,0,9000000,1,31.0,18.0,5.0,0,3,9,3.29,11,1,1,-,1
129,0,9000000,2,52.0,40.0,7.0,0,1,8,2.48,8,1,0,1,1
130,0,9000000,1,33.0,17.0,7.0,0,4,12,3.19,4,1,0,1,1
131,0,9027459,1,41.1,41.1,-,0,1,-,4.74,6,1,0,-,0
132,0,9100000,1,38.0,19.1,10.0,0,12,16,2.06,9,1,1,1,1
133,0,9117548,2,53.3,53.3,-,1,3,6,4.77,5,1,0,0,1
134,0,9117548,1,53.3,53.3,-,0,3,-,4.74,6,1,0,-,0
135,0,9199000,1,34.2,19.0,9.7,0,16,16,1.45,5,1,1,1,1
136,0,9200000,2,44.0,29.0,6.0,1,1,5,1.69,6,1,0,1,1
137,0,9200000,1,38.0,19.0,8.0,0,9,17,5.69,11,1,1,1,1
138,0,9242550,1,43.7,-,-,1,7,39,5.43,5,1,0,-,0
139,0,9300000,2,42.0,27.0,5.0,1,8,9,7.77,7,1,1,1,1
140,0,9300000,2,45.0,29.3,6.0,0,6,12,7.06,15,1,1,1,1
